    exampleTrace1    exampleTrace1    exampleTrace2    exampleTrace2    exampleTrace3    exampleTrace3
          634.355           12.709              NaN              NaN              NaN              NaN
          702.755           -7.867              NaN              NaN              NaN              NaN
          547.355           49.589              NaN              NaN              NaN              NaN
          533.055           67.591              NaN              NaN              NaN              NaN
          697.755          -31.767              NaN              NaN              NaN              NaN
          629.055          -63.149              NaN              NaN              NaN              NaN
          668.055          -63.609              NaN              NaN              NaN              NaN
          655.755          -43.287              NaN              NaN              NaN              NaN
          683.355          -35.751              NaN              NaN              NaN              NaN
          652.055          -16.369              NaN              NaN              NaN              NaN
          615.055           35.111              NaN              NaN              NaN              NaN
          653.355            0.749              NaN              NaN              NaN              NaN
          473.055          -23.709              NaN              NaN              NaN              NaN
          621.355          -74.771              NaN              NaN              NaN              NaN
          581.055           21.171              NaN              NaN              NaN              NaN
          654.755           61.853              NaN              NaN              NaN              NaN
          590.355          -39.431              NaN              NaN              NaN              NaN
          861.055          -41.029              NaN              NaN              NaN              NaN
          822.355           53.089              NaN              NaN              NaN              NaN
          849.055          -39.949              NaN              NaN              NaN              NaN
          940.755          -30.187              NaN              NaN              NaN              NaN
          831.755          -58.527              NaN              NaN              NaN              NaN
          842.755           49.233              NaN              NaN              NaN              NaN
          731.055           29.571              NaN              NaN              NaN              NaN
          616.055           13.971              NaN              NaN              NaN              NaN
          664.355          -68.491              NaN              NaN              NaN              NaN
          762.055          -33.469              NaN              NaN              NaN              NaN
         1008.054         -158.209              NaN              NaN              NaN              NaN
          575.355          -43.331              NaN              NaN              NaN              NaN
          822.755          -16.267              NaN              NaN              NaN              NaN
          712.355          -22.511              NaN              NaN              NaN              NaN
          853.055          -35.209              NaN              NaN              NaN              NaN
          785.055          -54.389              NaN              NaN              NaN              NaN
          665.055           40.811              NaN              NaN              NaN              NaN
          757.755          -24.167              NaN              NaN              NaN              NaN
          590.055          -39.389              NaN              NaN              NaN              NaN
          657.055          -30.769              NaN              NaN              NaN              NaN
          478.755           10.193              NaN              NaN              NaN              NaN
          838.055          -56.809              NaN              NaN              NaN              NaN
          588.355            0.149              NaN              NaN              NaN              NaN
